VERB,SG_GEN_-_1_PRES_IND,SG_GEN_-_2_PRES_IND,SG_GEN_-_3_PRES_IND,PL_GEN_-_1_PRES_IND,PL_GEN_-_2_PRES_IND,PL_GEN_-_3_PRES_IND,SG_GEN_M_1_PAST_IND,SG_GEN_F_1_PAST_IND,SG_GEN_M_2_PAST_IND,SG_GEN_F_2_PAST_IND,SG_GEN_M_3_PAST_IND,SG_GEN_F_3_PAST_IND,SG_GEN_N_3_PAST_IND,PL_GEN_M_1_PAST_IND,PL_GEN_F_1_PAST_IND,PL_GEN_M_2_PAST_IND,PL_GEN_F_2_PAST_IND,PL_GEN_M_3_PAST_IND,PL_GEN_F_3_PAST_IND,SG_GEN_M_1_-_PRE,SG_GEN_F_1_-_PRE,SG_GEN_M_2_-_PRE,SG_GEN_F_2_-_PRE,SG_GEN_M_3_-_PRE,SG_GEN_F_3_-_PRE,SG_GEN_N_3_-_PRE,PL_GEN_M_1_-_PRE,PL_GEN_F_1_-_PRE,PL_GEN_M_2_-_PRE,PL_GEN_F_2_-_PRE,PL_GEN_M_3_-_PRE,PL_GEN_F_3_-_PRE
słuchać,słucham,słuchasz,słucha,słuchamy,słuchacie,słuchają,słuchałem,słuchałam,słuchałeś,słuchałaś,słuchał,słuchała,słuchało,słuchaliśmy,słuchałyśmy,słuchaliście,słuchałyście,słuchali,słuchały,słuchałbym,słuchałabym,słuchałbyś,słuchałabyś,słuchałby,słuchałaby,słuchałoby,słuchalibyśmy,słuchałybyście,słuchalibyście,słuchałybyście,słuchaliby,słuchałyby
czytać,czytam,czytasz,czyta,czytamy,czytacie,czytają,czytałem,czytałam,czytałeś,czytałaś,czytał,czytała,czytało,czytaliśmy,czytałyśmy,czytaliście,czytałyście,czytali,czytały,czytałbym,czytałabym,czytałbyś,czytałabyś,czytałby,czytałaby,czytałoby,czytalibyśmy,czytałybyśmy,czytalibyście,czytałybyście,czytaliby,czytałyby
pisać,piszę,piszesz,pisze,piszemy,piszecie,piszą,pisałem,pisałam,pisałeś,pisałaś,pisał,pisała,pisało,pisaliśmy,pisałyśmy,pisaliście,pisałyście,pisali,pisały,pisałbym,pisałabym,pisałbyś,pisałabyś,pisałby,pisałaby,pisałoby,pisalibyśmy,pisałybyśmy,pisalibyście,pisałybyście,pisaliby,pisałyby
robić,robię,robisz,robi,robimy,robicie,robią,robiłem,robiłam,robiłeś,robiłaś,robił,robiła,robiło,robiliśmy,robiłyśmy,robiliście,robiłyście,robili,robiły,robiłbym,robiłabym,robiłbyś,robiłabyś,robiłby,robiłaby,robiłoby,robilibyśmy,robiłybyśmy,robilibyście,robiłybyście,robiliby,robiłyby
jeść,jem,jesz,je,jemy,jecie,jedzą,jadłem,jadłam,jadłeś,jadłaś,jadł,jadła,jadło,jedliśmy,jadłyśmy,jedliście,jadłyście,jedli,jadły,jadłbym,jadłabym,jadłbyś,jadłabyś,jadłby,jadłaby,jadłoby,jedlibyśmy,jadłybyśmy,jedlibyście,jadłybyście,jedliby,jadłyby
mieć,mam,masz,ma,mamy,macie,mają,miałem,miałam,miałeś,miałaś,miał,miała,miało,mieliśmy,miałyśmy,mieliście,miałyście,mieli,miały,miałbym,miałabym,miałbyś,miałabyś,miałby,miałaby,miałoby,mielibyśmy,miałybyśmy,mielibyście,miałybyście,mieliby,miałyby
iść,idę,idziesz,idzie,idziemy,idziecie,idą,szedłem,szłam,szedłeś,szłaś,szedł,szła,szło,szliśmy,szłyśmy,szliście,szłyście,szli,szły,szedłbym,szłabym,szedłbyś,szłabyś,szedłby,szłaby,szłoby,szlibyśmy,szłybyśmy,szlibyście,szłybyście,szliby,szłyby
pić,piję,pijesz,pije,pijemy,pijecie,piją,piłem,piłam,piłeś,piłaś,pił,piła,piło,piliśmy,piłyśmy,piliście,piłyście,pili,piły,piłbym,piłabym,piłbyś,piłabyś,piłby,piłaby,piłoby,pilibyśmy,piłybyśmy,pilibyście,piłybyście,piliby,piłyby
brać,biorę,bierzesz,bierze,bierzemy,bierzecie,biorą,brałem,brałam,brałeś,brałaś,brał,brała,brało,braliśmy,brałyśmy,braliście,brałyście,brali,brały,brałbym,brałabym,brałbyś,brałabyś,brałby,brałaby,brałoby,bralibyśmy,brałybyśmy,bralibyście,brałybyście,braliby,brałyby
dać,dam,dasz,da,damy,dacie,dadzą,dałem,dałam,dałeś,dałaś,dał,dała,dało,daliśmy,dałyśmy,daliscie,dałyście,dali,dały,dałbym,dałabym,dałbyś,dałabyś,dałby,dałaby,dałoby,dalibyśmy,dałybyśmy,dalibyście,dałybyście,daliby,dałyby
znać,znam,znasz,zna,znamy,znacie,znają,znałem,znałam,znałeś,znałaś,znał,znała,znało,znaliśmy,znałyśmy,znaliście,znałyście,znali,znały,znałbym,znałabym,znałbyś,znałabyś,znałby,znałaby,znałoby,znalibyśmy,znałybyśmy,znalibyście,znałybyście,znaliby,znałyby
spać,śpię,śpisz,śpi,śpimy,śpicie,śpią,spałem,spałam,spałeś,spałaś,spał,spała,spało,spaliśmy,spałyśmy,spaliście,spałyście,spali,spały,spałbym,spałabym,spałbyś,spałabyś,spałby,spałaby,spałoby,spalibyśmy,spałybyśmy,spalibyście,spałybyście,spaliby,spałyby
widzieć,widzę,widzisz,widzi,widzimy,widzicie,widzą,widziałem,widziałaś,widziałaś,widziałaś,widział,widziała,widziało,widzieliśmy,widziałyśmy,widzieliście,widziałyście,widzieli,widziały,widziałbym,widziała,bym,widziałbyś,widziała,byś,widziałby,widziała,by,widziało,by,widzielibyśmy,widziałybyśmy,widzielibyście,widziałybyście,widzieliby,widziałyby
chcieć,chcę,chcesz,chce,chcemy,chcecie,chcą,chciałem,chciałam,chciałeś,chciałaś,chciał,chciała,chciało,chcieliśmy,chciałyśmy,chcieliście,chciałyście,chcieli,chciały,chciałbym,chciałabym,chciałbyś,chciałabyś,chciałby,chciałaby,chciałoby,chcielibyśmy,chciałybyśmy,chcielibyście,chciałybyście,chcieliby,chciałyby
mówić,mówię,mówisz,mówi,mówimy,mówicie,mówią,mówiłem,mówiłam,mówiłeś,mówiłaś,mówił,mówiła,mówiło,mówiliśmy,mówiłyśmy,mówiliście,mówiłyście,mówili,mówiły,mówiłbym,mówiłabym,mówiłbyś,mówiłabyś,mówiłby,mówiłaby,mówiłoby,mówilibyśmy,mówiłybyśmy,mówilibyście,mówiłybyście,mówiliby,mówiłyby
kochać,kocham,kochasz,kocha,kochamy,kochacie,kochają,kochałem,kochałam,kochałeś,kochałaś,kochał,kochała,kochało,kochaliśmy,kochałyśmy,kochaliście,kochałyście,kochali,kochały,kochałbym,kochałabym,kochałbyś,kochałabyś,kochałby,kochałaby,kochałoby,kochalibyśmy,kochałybyśmy,kochalibyście,kochałybyście,kochaliby,kochałyby
pracować,pracuję,pracujesz,pracuje,pracujemy,pracujecie,pracują,pracowałem,pracowałam,pracowałeś,pracowałaś,pracował,pracowała,pracowało,pracowaliśmy,pracowałyśmy,pracowaliście,pracowałyście,pracowali,pracowały,pracowałbym,pracowałabym,pracowałbyś,pracowałabyś,pracowałby,pracowałaby,pracowałoby,pracowalibyśmy,pracowałybyśmy,pracowalibyście,pracowałybyście,pracowaliby,pracowałyby
żyć,żyję,żyjesz,żyje,żyjemy,żyjecie,żyją,żyłem,żyłam,żyłeś,żyłaś,żył,żyła,żyło,żyliśmy,żyłyśmy,żyliście,żyłyście,żyli,żyły,żyłbym,żyłabym,żyłbyś,żyłabyś,żyłby,żyłaby,żyłoby,żylibyśmy,żyłybyśmy,żylibyście,żyłybyście,żyliby,żyłyby
napisać,napiszę,napiszesz,napisze,napiszemy,napiszecie,napiszą,napisałem,napisałam,napisałeś,napisałaś,napisał,napisała,napisało,napisaliśmy,napisałyśmy,napisaliście,napisałyście,napisali,napisały,napisałbym,napisałabym,napisałbyś,napisałabyś,napisałby,napisałaby,napisałoby,napisalibyśmy,napisałybyśmy,napisalibyście,napisałybyście,napisaliby,napisałyby
zjeść,zjem,zjesz,zje,zjemy,zjecie,zjedzą,zjadłem,zjadłam,zjadłeś,zjadłaś,zjadł,zjadła,zjadło,zjedliśmy,zjadłyśmy,zjedliście,zjadłyście,zjedli,zjadły,zjadłbym,zjadłabym,zjadłbyś,zjadłabyś,zjadłby,zjadłaby,zjadłoby,zjedlibyśmy,zjadłybyśmy,zjedlibyście,zjadłybyście,zjedliby,zjadłyby
obejrzeć,obejrzę,obejrzysz,obejrzy,obejrzymy,obejrzycie,obejrzą,obejrzałem,obejrzałam,obejrzałeś,obejrzałaś,obejrzał,obejrzała,obejrzało,obejrzeliśmy,obejrzałyśmy,obejrzeliście,obejrzałyście,obejrzeli,obejrzały,obejrzałbym,obejrzałabym,obejrzałbyś,obejrzałabyś,obejrzałby,obejrzałaby,obejrzałoby,obejrzalibyśmy,obejrzałybyśmy,obejrzalibyście,obejrzałybyście,obejrzaliby,obejrzałyby
kupić,kupię,kupisz,kupi,kupimy,kupicie,kupią,kupiłem,kupiłam,kupiłeś,kupiłaś,kupił,kupiła,kupiło,kupiliśmy,kupiłyśmy,kupiliście,kupiłyście,kupili,kupiły,kupiłbym,kupiłabym,kupiłbyś,kupiłabyś,kupiłby,kupiłaby,kupiłoby,kupilibyśmy,kupiłybyśmy,kupilibyście,kupiłybyście,kupiliby,kupiłyby
pojechać,pojadę,pojedziesz,pojedzie,pojedziemy,pojedziecie,pojadą,pojechałem,pojechałam,pojechałeś,pojechałaś,pojechał,pojechała,pojechało,pojechaliśmy,pojechałyśmy,pojechaliście,pojechałyście,pojechali,pojechały,pojechałbym,pojechałabym,pojechałbyś,pojechałabyś,pojechałby,pojechałaby,pojechałoby,pojechalibyśmy,pojechałybyśmy,pojechalibyście,pojechałybyście,pojechaliby,pojechałyby
powiedzieć,powiem,powiesz,powie,powiemy,powiecie,powiedzą,powiedziałem,powiedziałam,powiedziałeś,powiedziałaś,powiedział,powiedziała,powiedziało,powiedzieliśmy,powiedziałyśmy,powiedzieliście,powiedziałyście,powiedzieli,powiedziały,powiedziałbym,powiedziałabym,powiedziałbyś,powiedziałabyś,powiedziałby,powiedziałaby,powiedziałoby,powiedzielibyśmy,powiedziałybyśmy,powiedzielibyście,powiedziałybyście,powiedzieliby,powiedziałyby
czyścić,czyszczę,czyszcisz,czyszczy, czyścimy,czyszcicie,czyszczą, czyściłem, czyściłam, czyściłeś, czyściłaś, czyścił, czyściła, czyściło, czyściliśmy, czyściłyśmy, czyściliście, czyściłyście, czyścili, czyściły, czyściłbym, czyściłabym, czyściłbyś, czyściłabyś, czyściłby, czyściłaby, czyściłoby, czyścilibyśmy, czyściłybyśmy, czyścilibyście, czyściłybyście, czyściliby, czyściłyby
biegać,biegam,biegasz,biega,biegamy,biegacie,biegają,biegałem,biegałam,biegałeś,biegałaś,biegał,biegała,biegało,biegaliśmy,biegałyśmy,biegaliście,biegałyście,biegali,biegały,biegałbym,biegałabym,biegałbyś,biegałabyś,biegałby,biegałaby,biegałoby,biegalibyśmy,biegałybyśmy,biegalibyście,biegałybyście,biegaliby,biegałyby
ugotować,ugotuję,ugotujesz,ugotuje,ugotujemy,ugotujecie,ugotują,ugotowałem,ugotowałam,ugotowałeś,ugotowałaś,ugotował,ugotowała,ugotowało,ugotowaliśmy,ugotowałyśmy,ugotowaliście,ugotowałyście,ugotowali,ugotowały,ugotowałbym,ugotowałabym,ugotowałbyś,ugotowałabyś,ugotowałby,ugotowałaby,ugotowałoby,ugotowalibyśmy,ugotowałybyśmy,ugotowalibyście,ugotowałybyście,ugotowaliby,ugotowałyby
pomagać,pomagam,pomagasz,pomaga,pomagamy,pomagacie,pomagają,pomagałem,pomagałam,pomagałeś,pomagałaś,pomagał,pomagała,pomagało,pomagaliśmy,pomagałyśmy,pomagaliście,pomagałyście,pomagali,pomagały,pomagałbym,pomagałabym,pomagałbyś,pomagałabyś,pomagałby,pomagałaby,pomagałoby,pomagalibyśmy,pomagałybyśmy,pomagalibyście,pomagałybyście,pomagaliby,pomagałyby
czyścić,czyszczę,czyszcisz,czyszczy,czyszczymy,czyszcicie,czyszczą,czyściłem,czyściłam,czyściłeś,czyściłaś,czyścił,czyściła,czyściło,czyściliśmy,czyściłyśmy,czyściliście,czyściłyście,czyścili,czyściły,czyściłbym,czyściłabym,czyściłbyś,czyściłabyś,czyściłby,czyściłaby,czyściłoby,czyścilibyśmy,czyściłybyśmy,czyścilibyście,czyściłybyście,czyściliby,czyściłyby
malować,maluję,malujesz,maluje,malujemy,malujecie,malują,malowałem,malowałam,malowałeś,malowałaś,malował,malowała,malowało,malowaliśmy,malowałyśmy,malowaliście,malowałyście,malowali,malowały,malowałbym,malowałabym,malowałbyś,malowałabyś,malowałby,malowałaby,malowałoby,malowalibyśmy,malowałybyśmy,malowalibyście,malowałybyście,malowaliby,malowałyby
gotować,gotuję,gotujesz,gotuje,gotujemy,gotujecie,gotują,gotowałem,gotowałam,gotowałeś,gotowałaś,gotował,gotowała,gotowało,gotowaliśmy,gotowałyśmy,gotowaliście,gotowałyście,gotowali,gotowały,gotowałbym,gotowałabym,gotowałbyś,gotowałabyś,gotowałby,gotowałaby,gotowałoby,gotowalibyśmy,gotowałybyśmy,gotowalibyście,gotowałybyście,gotowaliby,gotowałyby
zrozumieć,zrozumiem,zrozumiesz,zrozumie,zrozumiemy,zrozumiecie,zrozumieją,zrozumiałem,zrozumiałam,zrozumiałeś,zrozumiałaś,zrozumiał,zrozumiała,zrozumiało,zrozumieliśmy,zrozumiałyśmy,zrozumieliście,zrozumiałyście,zrozumieli,zrozumiały,zrozumiałbym,zrozumiałabym,zrozumiałbyś,zrozumiałabyś,zrozumiałby,zrozumiałaby,zrozumiałoby,zrozumielibyśmy,zrozumiałybyśmy,zrozumielibyście,zrozumiałybyście,zrozumieliby,zrozumiałyby
płakać,płaczę,płaczesz,płacze,płaczemy,płaczecie,płaczą,płakałem,płakałam,płakałeś,płakałaś,płakał,płakała,płakało,płakaliśmy,płakałyśmy,płakaliście,płakałyście,płakali,płakały,płakałbym,płakałabym,płakałbyś,płakałabyś,płakałby,płakałaby,płakałoby,płakalibyśmy,płakałybyśmy,płakalibyście,płakałybyście,płakaliby,płakałyby
śmiać się,śmieję się,śmiejesz się,śmieje się,śmiejemy się,śmiejecie się,śmieją się,śmiałem się,śmiałam się,śmiałeś się,śmiałaś się,śmiał się,śmiała się,śmiało się,śmialiśmy się,śmiałyśmy się,śmialiście się,śmiałyście się,śmiali się,śmiały się,śmiałbym się,śmiałabym się,śmiałbyś się,śmiałabyś się,śmiałby się,śmiałaby się,śmiałoby się,śmialibyśmy się,śmiałybyśmy się,śmialibyście się,śmiałybyście się,śmialiby się,śmiałyby się
tańczyć,tańczę,tańczysz,tańczy,tańczymy,tańczycie,tańczą,tańczyłem,tańczyłam,tańczyłeś,tańczyłaś,tańczył,tańczyła,tańczyło,tańczyliśmy,tańczyłyśmy,tańczyliście,tańczyłyście,tańczyli,tańczyły,tańczyłbym,tańczyłabym,tańczyłbyś,tańczyłabyś,tańczyłby,tańczyłaby,tańczyłoby,tańczylibyśmy,tańczyłybyśmy,tańczylibyście,tańczyłybyście,tańczyliby,tańczyłyby
biegać,biegam,biegasz,biega,biegamy,biegacie,biegają,biegałem,biegałam,biegałeś,biegałaś,biegał,biegała,biegało,biegaliśmy,biegałyśmy,biegaliście,biegałyście,biegali,biegały,biegałbym,biegałabym,biegałbyś,biegałabyś,biegałby,biegałaby,biegałoby,biegalibyśmy,biegałybyśmy,biegalibyście,biegałybyście,biegaliby,biegałyby
zamyślić się,zamyślę się,zamyślisz się,zamyśli się,zamyślimy się,zamyślicie się,zamyślą się,zamyśliłem się,zamyśliłam się,zamyśliłeś się,zamyśliłaś się,zamyślił się,zamyśliła się,zamyśliło się,zamyśliliśmy się,zamyśliłyśmy się,zamyśliliście się,zamyśliłyście się,zamyślili się,zamyśliły się,zamyśliłbym się,zamyśliłabym się,zamyśliłbyś się,zamyśliłabyś się,zamyśliłby się,zamyśliłaby się,zamyśliłoby się,zamyślibyśmy się,zamyśliłybyśmy się,zamyślibyście się,zamyśliłybyście się,zamyśliby się,zamyśliłyby się
naprawić,naprawię,naprawisz,naprawi,naprawimy,naprawicie,naprawią,naprawiłem,naprawiłam,naprawiłeś,naprawiłaś,naprawił,naprawiła,naprawiło,naprawiliśmy,naprawiłyśmy,naprawiliście,naprawiłyście,naprawili,naprawiły,naprawiłbym,naprawiłabym,naprawiłbyś,naprawiłabyś,naprawiłby,naprawiłaby,naprawiłoby,naprawilibyśmy,naprawiłybyśmy,naprawilibyście,naprawiłybyście,naprawiliby,naprawiłyby
znaleźć,znajdę,znajdziesz,znajdzie,znajdziemy,znajdziecie,znajdą,znalazłem,znalazłam,znalazłeś,znalazłaś,znalazł,znalazła,znalazło,znaleźliśmy,znalazłyśmy,znaleźliście,znalazłyście,znaleźli,znalazły,znalazłbym,znalazłabym,znalazłbyś,znalazłabyś,znalazłby,znalazłaby,znalazłoby,znaleźlibyśmy,znalazłybyśmy,znaleźlibyście,znalazłybyście,znaleźliby,znalazłyby
skończyć,skończę,skończysz,skończy,skończymy,skończycie,skończą,skończyłem,skończyłam,skończyłeś,skończyłaś,skończył,skończyła,skończyło,skończyliśmy,skończyłyśmy,skończyliście,skończyłyście,skończyli,skończyły,skończyłbym,skończyłabym,skończyłbyś,skończyłabyś,skończyłby,skończyłaby,skończyłoby,skończylibyśmy,skończyłybyśmy,skończylibyście,skończyłybyście,skończyliby,skończyłyby
włączyć,włączę,włączysz,włączy,włączymy,włączycie,włączą,włączyłem,włączyłam,włączyłeś,włączyłaś,włączył,włączyła,włączyło,włączyliśmy,włączyłyśmy,włączyliście,włączyłyście,włączyli,włączyły,włączyłbym,włączyłabym,włączyłbyś,włączyłabyś,włączyłby,włączyłaby,włączyłoby,włączylibyśmy,włączyłybyśmy,włączylibyście,włączyłybyście,włączyliby,włączyłyby
przyjechać,przyjadę,przyjedziesz,przyjedzie,przyjedziemy,przyjedziecie,przyjadą,przyjechałem,przyjechałam,przyjechałeś,przyjechałaś,przyjechał,przyjechała,przyjechało,przyjechaliśmy,przyjechałyśmy,przyjechaliście,przyjechałyście,przyjechali,przyjechały,przyjechałbym,przyjechałabym,przyjechałbyś,przyjechałabyś,przyjechałby,przyjechałaby,przyjechałoby,przyjechalibyśmy,przyjechałybyśmy,przyjechalibyście,przyjechałybyście,przyjechaliby,przyjechałyby
rozumieć,rozumiem,rozumiesz,rozumie,rozumiemy,rozumiecie,rozumieją,rozumiałem,rozumiałam,rozumiałeś,rozumiałaś,rozumiał,rozumiała,rozumiało,rozumieliśmy,rozumiałyśmy,rozumieliście,rozumiałyście,rozumieli,rozumiały,rozumiałbym,rozumiałabym,rozumiałbyś,rozumiałabyś,rozumiałby,rozumiałaby,rozumiałoby,rozumielibyśmy,rozumiałybyśmy,rozumielibyście,rozumiałybyście,rozumieliby,rozumiałyby
biec,biegnę,biegniesz,biegnie,biegniemy,biegniecie,biegną,biegłem,biegłam,biegłeś,biegłaś,biegł,biegła,biegło,biegliśmy,biegłyśmy,biegliście,biegłyście,biegli,biegły,biegłbym,biegłabym,biegłbyś,biegłabyś,biegłby,biegłaby,biegłoby,bieglibyśmy,biegłybyśmy,bieglibyście,biegłybyście,biegliby,biegłyby
